Brand,Model,Model_Description,Price,Engine_Size
Isuzu,mu-X,3.0TD LS,725500.0,3.0
Volvo,XC40,B3 Plus Dark,728400.0,
Mazda,CX-5,2.5 AWD Individual,729500.0,2.5
Audi,Q3 Sportback,35TFSI S line,734000.0,
Hyundai,Tucson,2.0D Elite,734900.0,2.0
Volvo,XC40,B3 Plus Bright,736700.0,
Honda,CR-V,1.5T Executive,737700.0,1.5
Peugeot,3008,1.6T GT,739900.0,1.6
Audi,Q3,40TFSI quattro Advanced,741900.0,
Mitsubishi,Pajero Sport,2.4DI-D Aspire,744990.0,2.4
BMW,X2,sDrive18i M Sport,747286.0,
MINI,Cooper S,Countryman,748981.0,
Kia,Sportage,1.6T-GDi GT Line S,749995.0,1.6
BMW,X1,sDrive18i xLine,753045.0,
Audi,Q3,40TFSI quattro S line,755900.0,
Toyota,RAV4,2.5 VX AWD,763100.0,2.5
MINI,Cooper S,Countryman Untamed Edition,764581.0,
Mazda,CX-5,2.2DE AWD Akera,765300.0,2.2
Volkswagen,Tiguan Allspace,1.4TSI 110kW R-Line,767400.0,1.4
Volvo,XC40,B4 Plus Dark,769700.0,
Volkswagen,Tiguan Allspace,2.0TSI 132kW 4Motion Style,774100.0,2.0
Mitsubishi,Pajero Sport,2.4DI-D 4x4,774990.0,2.4
Volvo,XC40,B4 Plus Bright,777900.0,
Hyundai,Kona N,,779900.0,
Audi,Q3 Sportback,40TFSI quattro S line,781500.0,
Peugeot,5008,1.6T GT,782900.0,1.6
Toyota,RAV4,2.5 Hybrid VX E-Four,785400.0,2.5
BMW,X2,sDrive20i M Sport,786527.0,
BMW,X1,sDrive18d xLine,790617.0,
BMW,X1,sDrive18i M Sport,793045.0,
Toyota,Fortuner,2.8GD-6,794600.0,2.8
Volkswagen,Tiguan,2.0TDI 130kW 4Motion R-Line,794800.0,2.0
Mitsubishi,Pajero Sport,2.4DI-D 4x4 Aspire,794990.0,2.4
Isuzu,mu-X,3.0TD LSE,795000.0,3.0
Volkswagen,Tiguan,2.0TSI 162kW 4Motion R-Line,795900.0,2.0
Alfa,Romeo Tonale,1.5T Hybrid Speciale,799900.0,1.5
Isuzu,mu-X,3.0TD LS 4x4,806400.0,3.0
Lexus,UX,250h EX,808600.0,
Mitsubishi,Pajero Sport,2.4DI-D 4x4 Exceed,809990.0,2.4
Toyota,FJ Cruiser,,813000.0,
Toyota,Land Cruiser,78 4.2D Wagon,818300.0,4.2
Honda,CR-V,1.5T Exclusive AWD,818700.0,1.5
Alfa,Romeo Tonale,1.5T Hybrid Veloce,819900.0,1.5
BMW,X1,sDrive18d M Sport,830617.0,
Kia,Sorento,2.2CRDi EX+,834995.0,2.2
Toyota,Fortuner,2.8GD-6 VX,837800.0,2.8
Volkswagen,Tiguan Allspace,2.0TSI 162kW 4Motion R-Line,838300.0,2.0
Volvo,XC40,B5 AWD Plus Dark,840000.0,
Mercedes-Benz,GLA200,Progressive,847226.0,
Volvo,XC40,B5 AWD Plus Bright,847400.0,
Hyundai,Santa Fe,2.2D Executive,856900.0,2.2
Toyota,Fortuner,2.8GD-6 4x4,873500.0,2.8
Kia,Sorento,2.2CRDi AWD EX+,874995.0,2.2
Mercedes-Benz,GLA200 AMG,Line,876226.0,
Mercedes-Benz,GLA200d,Progressive,883568.0,
Lexus,UX,250h SE,891800.0,
Isuzu,mu-X,3.0TD Onyx 4x4,895900.0,3.0
Lexus,NX,250 AWD EX,912400.0,
Mercedes-Benz,GLA200d AMG,Line,912568.0,
Toyota,Fortuner,2.8GD-6 4x4 VX,915400.0,2.8
Kia,Sorento,2.2CRDi AWD SX,939995.0,2.2
